scorer,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000
bodyparts,nose,nose,nose,left paw,left paw,left paw,right paw,right paw,right paw,left hindpaw,left hindpaw,left hindpaw,right hindpaw,right hindpaw,right hindpaw,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
52,522.5977172851562,308.8677978515625,0.9999698400497437,501.61297607421875,273.7300720214844,0.9999997615814209,524.8289184570312,291.2527770996094,0.9999881982803345,489.3013610839844,238.59471130371094,0.9999985694885254,536.9085083007812,229.54493713378906,0.9999982118606567,513.1656494140625,206.63876342773438,0.9999996423721313
53,523.2906494140625,313.9415283203125,0.9999896287918091,501.72662353515625,274.0815734863281,0.9999997615814209,524.3253173828125,292.2601623535156,0.9999947547912598,489.10809326171875,238.74542236328125,0.9999986886978149,536.8374633789062,230.03587341308594,0.9999977350234985,513.1066284179688,208.0961151123047,0.9999992847442627
54,522.6175537109375,317.121337890625,0.9999933242797852,501.43896484375,274.36822509765625,0.9999994039535522,524.1754760742188,293.70550537109375,0.9999983310699463,489.0423583984375,239.13604736328125,0.9999980926513672,537.5712280273438,231.15679931640625,0.9999971389770508,513.5362548828125,211.8013458251953,0.9999998807907104
55,522.4556884765625,321.1062316894531,0.9999971389770508,501.2547607421875,275.3065490722656,0.9999986886978149,523.7438354492188,294.11944580078125,0.9999995231628418,488.9501953125,239.38153076171875,0.9999960660934448,537.9528198242188,231.81919860839844,0.9999964237213135,513.736083984375,216.55032348632812,0.9999997615814209
56,521.6769409179688,325.24761962890625,0.9994612336158752,500.70855712890625,279.87567138671875,0.999996542930603,523.221435546875,293.65875244140625,0.9999995231628418,489.05096435546875,239.65110778808594,0.9999911785125732,538.3582763671875,233.1094512939453,0.9999876022338867,514.3761596679688,220.90333557128906,0.9999996423721313
57,524.7103881835938,334.30517578125,0.9640907049179077,501.94537353515625,302.77069091796875,0.9999712705612183,522.4025268554688,293.2789001464844,0.9999998807907104,488.16986083984375,240.29347229003906,0.9999940395355225,535.4801025390625,239.06710815429688,0.9999485015869141,513.4849243164062,224.45079040527344,0.9999995231628418
58,522.9586791992188,338.5292663574219,0.9957802295684814,504.6676940917969,315.5977478027344,0.9999192953109741,522.4893188476562,293.1963806152344,0.9999997615814209,488.04718017578125,241.0254669189453,0.9999960660934448,533.8220825195312,255.2362518310547,0.9999986886978149,513.853515625,228.1503448486328,0.9999998807907104
59,523.2418823242188,342.3424987792969,0.9256370663642883,505.3288269042969,321.3558349609375,0.9999861717224121,521.4671630859375,293.907958984375,0.9999992847442627,488.45758056640625,241.85134887695312,0.9999959468841553,531.4527587890625,266.9766845703125,0.9999994039535522,514.189208984375,230.95077514648438,0.9999998807907104
60,527.57568359375,350.02471923828125,0.9696545004844666,506.3385009765625,321.5164794921875,0.9999923706054688,521.7634887695312,294.5641784667969,0.9999983310699463,488.17315673828125,242.2767333984375,0.9999960660934448,530.9561157226562,268.0821228027344,0.9999994039535522,513.8358764648438,234.3507080078125,0.999998927116394
61,529.7356567382812,353.2019348144531,0.8930086493492126,506.6783752441406,321.77105712890625,0.9999972581863403,522.3091430664062,296.6477966308594,0.9999895095825195,488.8447265625,243.0540313720703,0.9999943971633911,531.018310546875,267.7959289550781,0.9999991655349731,514.0768432617188,238.71788024902344,0.9999986886978149
62,530.4782104492188,354.15704345703125,0.24482999742031097,506.8992919921875,320.2142333984375,0.9999960660934448,525.6953125,309.8243103027344,0.9999997615814209,489.0322265625,247.44580078125,0.9999085664749146,531.9962768554688,267.8722229003906,0.9999991655349731,513.6201171875,241.48294067382812,0.9999991655349731
63,528.7921752929688,353.7824401855469,0.6200675368309021,506.4915466308594,320.4757385253906,0.9999988079071045,529.824462890625,323.2113342285156,0.9999996423721313,484.4448547363281,266.0436706542969,0.9999994039535522,531.9215698242188,267.5591735839844,0.9999995231628418,512.2191162109375,242.14663696289062,0.9999994039535522
64,526.1428833007812,353.74420166015625,0.9855303764343262,506.4870300292969,320.18072509765625,0.9999992847442627,530.0947875976562,327.2400207519531,0.9999985694885254,484.25244140625,270.2411804199219,0.9999996423721313,532.0958862304688,267.4785461425781,0.9999995231628418,510.99078369140625,243.23077392578125,0.9999995231628418
65,528.0997924804688,354.91888427734375,0.9991425275802612,506.82354736328125,320.7533264160156,0.9999995231628418,531.2454833984375,329.04278564453125,0.9999984502792358,483.8706970214844,270.4067077636719,0.9999996423721313,531.9871826171875,267.35968017578125,0.9999995231628418,510.6051330566406,242.9625701904297,0.9999996423721313
66,531.47021484375,356.48138427734375,0.9998364448547363,506.95501708984375,321.3226013183594,0.9999995231628418,530.8099975585938,328.00360107421875,0.9999990463256836,483.9342346191406,270.351318359375,0.9999996423721313,532.0116577148438,267.9927062988281,0.9999994039535522,510.4931335449219,244.0347900390625,0.9999996423721313
67,532.7702026367188,358.843994140625,0.9999914169311523,507.0391540527344,321.9504089355469,0.9999995231628418,530.9832153320312,329.0224914550781,0.9999995231628418,483.9686584472656,270.4323425292969,0.9999996423721313,532.1287841796875,268.59564208984375,0.9999992847442627,510.80255126953125,247.36575317382812,0.9999991655349731
68,536.3193969726562,363.00933837890625,0.999945878982544,506.8070983886719,322.42706298828125,0.9999995231628418,530.6160888671875,329.1833801269531,0.9999995231628418,483.8365478515625,270.759521484375,0.9999994039535522,532.326171875,269.1996154785156,0.9999991655349731,510.20843505859375,249.67124938964844,0.9999943971633911
